k,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17
1,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847
2,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847
4,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847,-5.235625259847
8,-5.240769725138,-5.301836765100,-5.256998699658,-5.257349188549,-5.251938673249,-5.253798439247,-5.247213708208,-5.254543433160,-5.270346070201,-5.263835898316,-5.258894818432,-5.257807825842,-5.263130833437,-5.267521689057,-5.245923145735,-5.256821537498,-5.270613408498,-5.259428964258
16,-5.285131765886,-5.333191798988,-5.326770676021,-5.340691934021,-5.352524778331,-5.327913266829,-5.303471203691,-5.311728966585,-5.371824019326,-5.295885971478,-5.331701179558,-5.300932666974,-5.326454580616,-5.333705109878,-5.298094860155,-5.311649066156,-5.363902896084,-5.296542460800
32,-5.401958893097,-5.490266295101,-5.546344860161,-5.452827720396,-5.470901257794,-5.438742402999,-5.478846414710,-5.466085050829,-5.495185248603,-5.469090111922,-5.463430566000,-5.456075078500,-5.498461433321,-5.437096780332,-5.449173904100,-5.478427190166,-5.465927961316,-5.405494374286
64,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.770919159434,-5.758063055528,-5.770919159434
