4.83333 -0.000935593 11.6806 11.7053 0.00309865 11.6806 11.6731
5 -9.45953e-05 12.5 12.5122 0.00153044 12.5 12.4992
5.16667 0.000732357 13.3472 13.3566 0.00116912 13.3472 13.3531
5.33333 0.000606347 14.2222 14.2298 0.000953293 14.2222 14.2271
5.5 -0.000183085 15.125 15.1281 0.000390283 15.125 15.1235
5.66667 -0.000592345 16.0556 16.0535 -0.000257546 16.0556 16.0508
5.83333 -0.000132625 17.0139 17.01 -0.000485703 17.0139 17.0128
6 0.000596573 18 17.9985 -0.000182336 18 18.0048
6.16667 0.000715886 19.0139 19.016 0.000258883 19.0139 19.0196
6.33333 0.000145373 20.0556 20.0586 0.000381188 20.0556 20.0567
6.5 -0.000360265 21.125 21.1261 0.000133394 21.125 21.1221
6.66667 -0.000187754 22.2222 22.2212 -0.00012518 22.2222 22.2207
6.83333 0.000397351 23.3472 23.3468 -5.30388e-05 23.3472 23.3504
7 0.000631714 24.5 24.5023 0.000285417 24.5 24.5051
7.16667 0.000222158 25.6806 25.6845 0.000487979 25.6806 25.6823
7.33333 -0.000313698 26.8889 26.8911 0.000270118 26.8889 26.8864
7.5 -0.000318822 28.125 28.1235 -0.000187717 28.125 28.1224
7.66667 0.000186068 29.3889 29.3856 -0.000409989 29.3889 29.3904
7.83333 0.000541639 30.6806 30.6793 -0.000162612 30.6806 30.6849
8 0.000265568 32 32.002 0.000246918 32 32.0021
